deploymentID,BAI
graph_G27.csv,0.21633200304612188
graph_G26.csv,0.329084530969007
graph_G24.csv,0.10830559007073437
graph_G18.csv,0.10947796998382242
graph_G19.csv,0.17819016541820454
graph_G25.csv,0.19950346189512902
graph_G09.csv,-0.09477909247419958
graph_G21.csv,0.11045612476637212
graph_G20.csv,-0.20418275684151388
graph_G08.csv,0.16763035123586079
graph_G22.csv,-0.07782276386279874
graph_G23.csv,0.13077636689163197
graph_G06.csv,0.07332767963773079
graph_G05.csv,0.16733429266434385
graph_G10.csv,0.06756959543981533
graph_G28.csv,0.2444291633097163
graph_G14.csv,-0.0039840454991136864
graph_G01.csv,0.2808377980249749
graph_G15.csv,0.19241579345331294
graph_G03.csv,0.23979074676124423
graph_G17.csv,0.1906810061134533
graph_G16.csv,0.13899942097549056
