fname,index_value
graph_G27.csv,0.06604701900554599
graph_G26.csv,0.18938410754606838
graph_G24.csv,0.06686663086612221
graph_G18.csv,0.0025475483277033195
graph_G19.csv,0.09062082056587806
graph_G25.csv,0.05665305947473953
graph_G09.csv,-0.022992110141381805
graph_G21.csv,0.035351371433609335
graph_G20.csv,0.0071386299779164775
graph_G08.csv,0.07400534628784533
graph_G22.csv,0.029502821591563366
graph_G23.csv,0.054684660366211335
graph_G06.csv,0.04260100386608823
graph_G05.csv,0.0316384834238807
graph_G10.csv,0.020267733489746365
graph_G28.csv,0.04577618669066763
graph_G14.csv,0.052893386830353495
graph_G01.csv,0.15165009983624217
graph_G15.csv,0.06685433823704356
graph_G03.csv,0.05866694812873202
graph_G17.csv,0.08421273647533833
graph_G16.csv,0.060174269725410456
